,company,base
0,Testhouse Ltd,140.0
1,Ernst & Young LLP (EY),200.0
2,Equal Experts UK Limited,250.0
3,Sparta Global Limited (formerly Testing Circle Limited),250.0
4,Capita Business Services Limited,267.0
5,Ten10 Solutions Limited,285.0
6,FDM GROUP,290.0
7,CGI,292.0
8,KubrickGroup,350.0
9,BJSSLimited,350.0
10,KPMG LLP,360.0
11,Infosys Limited,369.0
12,CREDERA LIMITED,375.0
13,Cognizant Worldwide Limited,400.0
14,Alchemmy Consulting Ltd,435.0
15,PROJECTIVEGROUPUKLIMITED,450.0
16,PROJECTIVE GROUP UK LIMITED,450.0
17,Mosaic Island,450.0
18,Clarasys Limited,450.0
19,PricewaterhouseCoopers (LLP) PwC,450.0
20,Baringa Partners,465.0
21,North Highland,495.0
22,Adatis,495.0
23,NorthHighland,495.0
24,Mason Advisory Limited,500.0
25,PROJECTONECONSULTINGLIMITED,500.0
26,The Public Service Consultants (trading as The PSC),500.0
27,Thoughtworks Limited,525.0
28,WavestoneAdvisorsUKLimited,550.0
29,Wavestone Advisors UK Limited,550.0
30,InfosysLimited,567.0
31,AlchemmyConsultingLtd,590.0
32,Slalom Consulting,636.0
33,Capgemini UK plc,650.0
34,KainosSoftwareLtd,695.0
35,Softwire Technology Limited,750.0
36,Eden McCallum LLP,850.0
37,The Berkeley Partnership,1000.0
38,IQVIA LTD.,1200.0
