,rate_card_file,id
0,Adatis_153712160917363-sfia-rate-card-2022-05-13-0852,0
1,AlchemmyConsultingLtd_799784282615501-sfia-rate-card-2022-05-18-1007,1
2,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344,2
3,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851,3
4,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140,4
5,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601,5
6,CGI_135815781352257-sfia-rate-card-2022-05-16-1917,6
7,ClarasysLimited_514137725494885-sfia-rate-card-2022-05-16-0932,7
8,CognizantWorldwideLimited_157552930737303-sfia-rate-card-2022-05-10-1430,8
9,CognizantWorldwideLimited_211662788676096-sfia-rate-card-2022-05-16-1304,9
10,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028,10
11,CognizantWorldwideLimited_810500948793388-sfia-rate-card-2022-05-18-0001,11
12,DeloitteLLP_297929729984515-sfia-rate-card-2022-05-17-1148,12
13,EdenMcCallumLLP_157234396828677-sfia-rate-card-2022-05-03-1126,13
14,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006,14
15,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004,15
16,Ernst&YoungLLP(EY)_510140384720685-sfia-rate-card-2022-05-11-0957,16
17,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233,17
18,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,18
19,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,19
20,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,20
21,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,21
22,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,22
23,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,23
24,InfosysLimited_398970927248335-sfia-rate-card-2022-05-17-2026,24
25,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930,25
26,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001,26
27,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006,27
28,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804,28
29,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,29
30,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942,30
31,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,31
32,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447,32
33,IQVIALTD._194346053549503-sfia-rate-card-2022-04-14-1652,33
34,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408,34
35,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813,35
36,KPMGLLP_131143655173785-sfia-rate-card-2022-05-17-1008,36
37,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049,37
38,KubrickGroup_182409236098245-sfia-rate-card-2022-05-18-1252,38
39,MasonAdvisoryLimited_942578796567433-sfia-rate-card-2023-06-26-1131,39
40,MosaicIsland_299113241478591-sfia-rate-card-2022-05-17-0827,40
41,NorthHighland_522494869018764-sfia-rate-card-2022-05-18-0051,41
42,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118,42
43,PROJECTONECONSULTINGLIMITED_435886456554390-sfia-rate-card-2022-04-13-1502,43
44,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437,44
45,SoftwireTechnologyLimited_828621051503688-sfia-rate-card-2022-05-16-0825,45
46,SpartaGlobalLimited(formerlyTestingCircleLimited)_362853140036139-sfia-rate-card-2022-05-12-1127,46
47,SpartaGlobalLimited(formerlyTestingCircleLimited)_556392738393829-sfia-rate-card-2022-05-12-1128,47
48,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303,48
49,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516,49
50,ThePublicServiceConsultants(tradingasThePSC)_399353489976769-sfia-rate-card-2022-05-18-0943,50
51,ThoughtworksLimited_650828199884095-sfia-rate-card-2022-05-11-1311,51
52,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601,52
53,ZoonouLimited_148392630329364-sfia-rate-card-2022-05-13-1529,53
