,bin_lower_bound,bin_upper_bound,frequencies,price_type
0,267.0,476.99285702137587,14.0,min
1,476.99285702137587,686.9857140427517,14.0,min
2,686.9857140427517,896.9785710641277,3.0,min
3,896.9785710641277,1106.9714280855035,2.0,min
4,1106.9714280855035,1316.9642851068793,1.0,min
5,600.0,1350.4529854017542,6.0,max
6,1350.4529854017542,2100.9059708035084,18.0,max
7,2100.9059708035084,2851.358956205263,7.0,max
8,2851.358956205263,3601.811941607017,2.0,max
9,3601.811941607017,4352.264927008771,0.0,max
10,4352.264927008771,5102.717912410526,1.0,max
11,300.0,976.318019417584,7.0,rate_range
12,976.318019417584,1652.636038835168,17.0,rate_range
13,1652.636038835168,2328.954058252752,8.0,rate_range
14,2328.954058252752,3005.272077670336,1.0,rate_range
15,3005.272077670336,3681.5900970879197,1.0,rate_range
